1000
T Rho Ye Ym Mue Mum Mun Mup Un Up
2.1267420e+01 6.5458476e+14 2.4438295e-01 7.1598001e-02 2.7464183e+02 2.0562473e+02 1.0511930e+03 9.8118258e+02 4.1029120e+02 3.9399826e+02 
6.2715807e+00 5.9630761e+11 1.2745599e-01 4.7140476e-03 1.6106418e+01 7.2908039e+01 9.1917249e+02 9.0453341e+02 4.2014925e-01 2.6394312e-01 
2.1492872e+01 6.1671711e+14 2.5142455e-01 8.6441031e-03 2.7157768e+02 1.1840779e+02 1.0441725e+03 9.5372136e+02 3.8796516e+02 3.6490078e+02 
3.8535004e+01 4.8782034e+14 2.4439770e-01 7.1848256e-02 2.3461659e+02 1.6879515e+02 9.8508817e+02 9.1382074e+02 3.0917741e+02 2.8760630e+02 
1.7744730e+01 3.3509257e+13 1.1173490e-01 6.5950076e-02 6.7276371e+01 1.0425420e+02 9.1719587e+02 8.7073999e+02 2.1266599e+01 1.3595284e+01 
2.0405315e+01 6.4727779e+13 1.0459515e-01 2.5044254e-02 8.3631743e+01 9.0711992e+01 9.2358197e+02 8.5376769e+02 4.5267296e+01 2.7739655e+01 
3.2873573e+01 5.3143395e+14 2.4473488e-01 9.9184834e-02 2.4769709e+02 2.0139054e+02 9.9894509e+02 9.3994299e+02 3.3490372e+02 3.1780662e+02 
3.5394573e+01 1.2114562e+14 1.7377962e-01 4.8507283e-02 1.1393279e+02 8.9723627e+01 9.0424109e+02 8.2362777e+02 8.3171236e+01 5.8687942e+01 
1.7384119e+01 5.1526736e+14 2.6344383e-01 3.9107811e-02 2.6129400e+02 1.6816303e+02 1.0032877e+03 9.3435336e+02 3.2610231e+02 3.0390835e+02 
2.9692028e+01 3.8425781e+14 2.5348973e-01 7.1519405e-03 2.2507368e+02 7.8402171e+01 9.6677122e+02 8.8226209e+02 2.4833731e+02 2.1663039e+02 
4.7659599e+01 2.4503324e+14 1.9768652e-01 1.2179001e-02 1.4895376e+02 3.2989062e+01 9.1906225e+02 8.0476851e+02 1.6780074e+02 1.2912002e+02 
2.1084044e+01 8.7293023e+14 2.2974296e-01 7.5273026e-02 2.9702396e+02 2.2620139e+02 1.1535006e+03 1.0707692e+03 5.4480399e+02 5.3431313e+02 
1.7905952e+01 4.9096686e+13 9.7708665e-02 2.6272635e-03 7.4940033e+01 4.9462284e+01 9.2519979e+02 8.5800643e+02 3.4852944e+01 2.0645884e+01 
4.5755363e+01 1.8297703e+14 2.1296671e-01 4.0856331e-02 1.3625314e+02 7.2726893e+01 8.9956204e+02 8.1035981e+02 1.2598195e+02 9.6636373e+01 
1.9692089e+01 5.7945538e+14 2.5095576e-01 6.7620914e-02 2.6649275e+02 1.9703962e+02 1.0227021e+03 9.5663816e+02 3.6472979e+02 3.4635017e+02 
2.2543240e+01 6.3432775e+14 2.4834207e-01 8.6508929e-02 2.7252297e+02 2.1388762e+02 1.0405662e+03 9.7821090e+02 3.9790875e+02 3.8276421e+02 
2.9086483e+01 1.1526414e+14 1.4083156e-01 1.1027002e-02 1.0948350e+02 5.6667600e+01 9.2030547e+02 8.2732378e+02 8.1950489e+01 5.2858708e+01 
6.1287127e+00 1.3332520e+11 2.1322669e-01 9.1092658e-03 8.7316258e+00 6.8729967e+01 9.1020857e+02 9.0097171e+02 9.2914920e-02 6.6450855e-02 
4.9564365e+01 6.5089860e+14 2.3278052e-01 5.3803814e-03 2.4566381e+02 3.4272175e+01 1.0509714e+03 9.3410957e+02 4.0855328e+02 3.8453627e+02 
3.5344894e+01 1.3909721e+14 1.6661665e-01 4.0379475e-02 1.1948147e+02 8.8064809e+01 9.1106686e+02 8.2227398e+02 9.6773246e+01 6.7838582e+01 
4.0524181e+01 1.1464953e+14 2.3293933e-01 9.5652027e-02 1.1983348e+02 1.0394587e+02 8.7974620e+02 8.2818924e+02 7.3779194e+01 5.9238721e+01 
1.0607625e+01 7.9980533e+12 9.8201223e-02 5.5241475e-02 3.9884987e+01 9.5994735e+01 9.2151786e+02 8.9307244e+02 5.0225180e+00 3.1078610e+00 
3.1558271e+01 6.1188849e+14 2.4153675e-01 1.7605572e-02 2.6065631e+02 1.2302771e+02 1.0402926e+03 9.4549311e+02 3.8497761e+02 3.6152614e+02 
