1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
1.925000000000000000e+06 5.564435761672558156e-01 3.752758690153836426e+12 8.307427683707700794e+00 3.028853092923406987e-01 2.365007449911011077e-06 6.816849970328557440e+00 1.122313442849544174e+01 9.201199557848307222e+02 9.363809536344544995e+02 1.921993896459821549e+00 5.477009878111628316e-01 9.083754482388595761e+02 9.350876117367123470e+02 1.400490198815211862e+00 1.696829853450241565e-01
1.975000000000000000e+06 5.606241615944377310e-01 3.391090764887270996e+12 8.513435176416519923e+00 3.049517689564628098e-01 3.409477824506163334e-06 5.371967311588398353e+00 1.088711218989325857e+01 9.186819361717191441e+02 9.365950094418529943e+02 1.782852422382912749e+00 5.587141419932116770e-01 9.072159479323232745e+02 9.353016684451945366e+02 1.315136401764326557e+00 1.821933877222064180e-01
2.025000000000000000e+06 5.646320878604178528e-01 3.092474874527289062e+12 8.680072001136355908e+00 3.066193338313032979e-01 4.567601989688602654e-06 4.076593747535402379e+00 1.059004896946755991e+01 9.174150773999863304e+02 9.367844280418183871e+02 1.661905623260194309e+00 5.680696282500932170e-01 9.061773617634895572e+02 9.354910899818111147e+02 1.237857769036762257e+00 1.928674229468275159e-01
2.075000000000000000e+06 5.684960005256040061e-01 2.839406755292003906e+12 8.809276199730158297e+00 3.085440655793350029e-01 5.761628549064722781e-06 2.931095657742818439e+00 1.035269727820534058e+01 9.162999483594954881e+02 9.369560451098531075e+02 1.553486005701346206e+00 5.753879253274000183e-01 9.052903542974668198e+02 9.356627080786836359e+02 1.166935341649643298e+00 2.024485629303487411e-01
2.125000000000000000e+06 5.722501825749261029e-01 2.630473746752603027e+12 8.886692649883267237e+00 3.095325196031183390e-01 6.714066690964035188e-06 1.949926587141830758e+00 1.014565201748250445e+01 9.154447671845215382e+02 9.371060581682269230e+02 1.460705680571629639e+00 5.817360721693746184e-01 9.046077174354444423e+02 9.358127154267979222e+02 1.103262026529154838e+00 2.096340857610845543e-01
2.175000000000000000e+06 5.759245698741498609e-01 2.457553156703416992e+12 8.910976423160660076e+00 3.098136107120368354e-01 7.297983954560454883e-06 1.146993422906980697e+00 1.002097623857100928e+01 9.148465028416479754e+02 9.372383068591321944e+02 1.378760110204863221e+00 5.870462163944552003e-01 9.041487481959062507e+02 9.359449643768346050e+02 1.045565036240715173e+00 2.146951479452296474e-01
2.225000000000000000e+06 5.795452766584797688e-01 2.314034538746790527e+12 8.898292719009615936e+00 3.093386429753509081e-01 7.519152456652951709e-06 4.869708036454533095e-01 9.926069983703257549e+00 9.144647720879511326e+02 9.373524189822824155e+02 1.309411014928326011e+00 5.917848226357341757e-01 9.038663111592551331e+02 9.360590767064908277e+02 9.948003193776679964e-01 2.179173915216726654e-01
2.275000000000000000e+06 5.831389210996898997e-01 2.196892544858350586e+12 8.848883802644234464e+00 3.081391367325777564e-01 7.330533363652853562e-06 -2.242357662166516441e-02 9.851116712644795825e+00 9.143124104952215703e+02 9.374489169961487960e+02 1.252514155712939559e+00 5.959829461010998086e-01 9.037786182747005341e+02 9.361555747110971879e+02 9.510189067255883089e-01 2.193657763066776678e-01
2.325000000000000000e+06 5.867218890919607688e-01 2.097169465171894287e+12 8.779653477008579898e+00 3.065294888485712854e-01 6.939353836823982470e-06 -4.346565695288630016e-01 9.804594103121900162e+00 9.142764047191740246e+02 9.375341178858878948e+02 1.201280785670582052e+00 5.999376622521209734e-01 9.037884001516246144e+02 9.362407769113771110e+02 9.116315476820435748e-01 2.198519396742495136e-01
2.375000000000000000e+06 5.903064968752846919e-01 2.010716895645775391e+12 8.689418733350997570e+00 3.046973869744608598e-01 6.328563596051577887e-06 -7.530862671777242001e-01 9.746680124809444123e+00 9.143804767723402165e+02 9.376094285143999514e+02 1.157666253402743539e+00 6.034416707378614797e-01 9.039326003125034958e+02 9.363160887471071874e+02 8.765658013830277540e-01 2.195532971050080939e-01
