1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
2.975000000000000000e+06 6.335317153558143177e-01 1.305510233044699951e+12 7.310389632994167997e+00 2.933332896109826504e-01 7.718209356824151534e-07 -2.182015674655206183e+00 8.466342819352433935e+00 9.174515090688290684e+02 9.382739173635006864e+02 7.644515080072364910e-01 6.208074417509412690e-01 9.081091614654288833e+02 9.369805779575963243e+02 5.694513199334689801e-01 2.138640272729920300e-01
3.025000000000000000e+06 6.372034679996643192e-01 1.269577362379020752e+12 7.191852642047921407e+00 2.922327295298705052e-01 6.086527131473076937e-07 -2.180959166526666770e+00 8.349359179102805228e+00 9.178062167772822022e+02 9.383099060551309094e+02 7.438165802916880676e-01 6.215433407549505462e-01 9.085405915446077643e+02 9.370165651761732306e+02 5.525899694129847717e-01 2.125006749529748107e-01
3.075000000000000000e+06 6.408975507320993081e-01 1.236097958400620850e+12 7.085941948665834822e+00 2.913342032552082572e-01 4.926083936446288220e-07 -2.188542920595599295e+00 8.254161242453719183e+00 9.181097106833981343e+02 9.383432194008893248e+02 7.240925990793799505e-01 6.223141762231896301e-01 9.089206539788226564e+02 9.370498779173658477e+02 5.370871106558690045e-01 2.115390181113985801e-01
3.125000000000000000e+06 6.446152347120636117e-01 1.204505918610002197e+12 6.985306058770838433e+00 2.902906611273263771e-01 3.995463081171042658e-07 -2.201384524202989468e+00 8.126525774822439985e+00 9.184026441353925065e+02 9.383743448002412606e+02 7.057341901888477542e-01 6.233631729521151854e-01 9.092805665964257287e+02 9.370810024274755961e+02 5.225785804915465960e-01 2.105596385589988406e-01
3.175000000000000000e+06 6.483487026520790009e-01 1.171821545317684570e+12 6.886780760452354322e+00 2.894747387970631469e-01 3.247980192098762459e-07 -2.221926139318521010e+00 8.014414411346422185e+00 9.186772327682218702e+02 9.384065020290723851e+02 6.870038643856709593e-01 6.240932483695483812e-01 9.096306195707070401e+02 9.371131592389834850e+02 5.077462850934004734e-01 2.097012347005646482e-01
3.225000000000000000e+06 6.520907264913291534e-01 1.138370476076734131e+12 6.778021602555980074e+00 2.885778425174994610e-01 2.573218668985748722e-07 -2.228501774399043178e+00 7.938731077595733154e+00 9.189811789803969759e+02 9.384406288474078792e+02 6.671228484650933988e-01 6.243791426296373404e-01 9.100120844194558458e+02 9.371472877658652578e+02 4.918612385076768234e-01 2.082808492227963548e-01
3.275000000000000000e+06 6.558318926072264077e-01 1.103623387525307129e+12 6.664580020397172788e+00 2.876741510301609184e-01 1.998349278902296049e-07 -2.235829816405872084e+00 7.853478553964166053e+00 9.192932549057132974e+02 9.384759708758759871e+02 6.460518353123189117e-01 6.248201846059424636e-01 9.104095147047860337e+02 9.371826317753285593e+02 4.754627682136254307e-01 2.069930280723758231e-01
3.325000000000000000e+06 6.595652063851501490e-01 1.068434014030730103e+12 6.546316354969727414e+00 2.868773095645385518e-01 1.514532188837442780e-07 -2.234741919380152098e+00 7.771408136431404046e+00 9.196299712127657813e+02 9.385113093929186334e+02 6.254084232794911991e-01 6.251992580297851543e-01 9.108427382266623908e+02 9.372179714953724670e+02 4.591993562590674927e-01 2.058692808165566990e-01
3.375000000000000000e+06 6.632937423701060764e-01 1.035684069849932617e+12 6.429195706967928636e+00 2.859024210791975551e-01 1.135807776208378294e-07 -2.225968490999213678e+00 7.694610485947436018e+00 9.199774979829301174e+02 9.385440856971438279e+02 6.062847326326992192e-01 6.258265838131101821e-01 9.112789914795511095e+02 9.372507482818940616e+02 4.440626314235593952e-01 2.046487488947253408e-01
3.425000000000000000e+06 6.670188705144121100e-01 1.004746673719677856e+12 6.313697930376124923e+00 2.848182132153993518e-01 8.432441831948906400e-08 -2.212728798284805176e+00 7.568156630214730285e+00 9.203256455006165879e+02 9.385750731443442874e+02 5.879163438919220441e-01 6.266787651865249886e-01 9.117114645338571108e+02 9.372817346183002201e+02 4.297172118840864030e-01 2.034283011671836061e-01
3.475000000000000000e+06 6.707426984048026064e-01 9.757004250848177490e+11 6.181821023597334097e+00 2.834833055372857347e-01 6.117439644967672512e-08 -2.155617775886277343e+00 7.571449736821477927e+00 9.207424915433022079e+02 9.386068137424074393e+02 5.696363637335749575e-01 6.263556641119000234e-01 9.122033436753082469e+02 9.373134739358879415e+02 4.145945989174926183e-01 2.006558967970001328e-01
